energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
188.88,0.2,0.0078,0.0021,G,1887.54,1698.69, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
196.51,0.18,0.0085,0.0022,G,1877.38,1680.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
230.76,0.09,0.031,0.007,G,1538.97,1308.21, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
233.45,0.22,0.009,0.003,G,2110.85,1877.38, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
249.89,0.18,0.01,0.003,G,2349.81,2100.08, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
260.6,0.4,0.007,0.003,G,1680.78,1420.67,[M1 E2], ,,0.0707, ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
267.6,0.3,0.009,0.003,G,3701.95,3434.45, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
312.31,0.21,0.0078,0.0021,G,1620.73,1308.21, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
339.4,0.4,0.0057,0.0024,G,2157.00,1817.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
357.01,0.16,0.013,0.003,G,2037.97,1680.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
375.91,0.07,0.038,0.008,G,2605.74,2229.79, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
396.9,0.3,0.016,0.005,G,1817.78,1420.67, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
401.08,0.22,0.01,0.003,G,2218.93,1817.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
404.61,0.25,0.008,0.003,G, , , , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
416.49,0.22,0.012,0.004,G,2349.81,1933.48, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
419.3,0.3,0.009,0.003,G,2100.08,1680.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
430.2,0.16,0.036,0.008,G,2110.85,1680.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
434.23,0.2,0.013,0.004,G,2524.30,2089.89, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
448.76,0.12,0.03,0.007,G,2605.74,2157.00, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
454.66,0.06,0.13,0.03,G,1082.04,627.319,[M1 E2], ,,0.0148, ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
466.7,0.12,0.02,0.004,G,1887.54,1420.67, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
505.4,0.3,0.009,0.003,G,2605.74,2100.08, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
515.86,0.07,0.051,0.011,G,2605.74,2089.89, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
528.2,0.1,0.036,0.014,G,2461.67,1933.48, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
531.98,0.04,0.21,0.04,G,2349.81,1817.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
538.35,0.24,0.013,0.004,G,2218.93,1680.78, , ,, , ,55,84,Cs, ,0, ,7/2+,9.27, ,5,m,556.2,3,B-,100, ,4213,3,56,83,Ba,2021-11-05
