energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
165.8575,0.0011,23.7,0.4,G,165.859,0.0,M1, ,,0.2516, ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1053.162,0.032,0.00072,0.00003,G,1219.047,165.859,E2, ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1090.938,0.01,0.0097,0.0003,G,1256.797,165.859,M1+E2, ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1215.542,0.012,0.00313,0.00004,G,1381.409,165.859, , ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1219.044,0.01,0.00488,0.00012,G,1219.047,0.0,M1+E2,-4.9,4, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1254.631,0.01,0.03,0.0004,G,1420.491,165.859, , ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1256.772,0.022,0.00386,0.00011,G,1256.797,0.0,M1+E2, ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1310.617,0.01,0.0149,0.0005,G,1476.489,165.859, , ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1370.509,0.01,0.00253,0.00019,G,1536.388,165.859,M1+E2,-0.81,25, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
1381.56,0.093,0.000164,0.000011,G,1381.409,0.0, , ,, , ,56,83,Ba, ,0, ,7/2-,82.93, ,9,m,4975.8,5.4,B-,100, ,2308.5,0.7,57,82,La,2021-10-27
