energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
400.8,0.5,0.032,0.016,G,2204.11,1802.84, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
411.7,0.8,0.08,0.03,G,2932.58,2521.87, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
413.4,0.3,0.19,0.03,G,2237.21,1823.80, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
528.25,0.05,2.92,0.12,G,1130.54,602.31,E2, ,,0.00848, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
555.5,0.2,0.148,0.012,G,4499.93,3944.06, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
602.25,0.05,53,3,G,602.31,0.0,E2, ,,0.00600, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
627.5,0.3,0.153,0.017,G,2138.27,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
643.5,0.5,0.037,0.016,G,2782.05,2138.27, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
672.1,0.4,1.15,0.07,G,1802.84,1130.54,(E1+M2),+0.13,+7-6,0.0020, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
693.4,0.5,0.11,0.05,G,2204.11,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
695.5,0.5,0.29,0.05,G,2932.58,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
726.2,0.5,0.07,0.05,G,2237.21,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
728.9,0.6,0.09,0.03,G,2932.58,2204.11, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
735.9,0.3,0.58,0.03,G,2973.35,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
740.8,1,0.058,0.021,G,2692.0,1951.5, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
758.5,1,0.037,0.021,G,5173.69,4416.0, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
760.3,1,0.037,0.021,G,4416.0,3656.08, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
771,0.9,0.042,0.016,G, , , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
794.6,0.6,0.085,0.021,G,2932.58,2138.27, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
794.6,0.6,0.085,0.021,G,5183.8,4387.8, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
798.9,0.8,0.116,0.016,G,2309.89,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
809.8,1,0.05,0.03,G,2320.32,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
820.9,0.4,0.249,0.018,G,1951.5,1130.54,M1+E2, ,,0.0034, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
826.9,1.5,0.026,0.016,G,5183.8,4358.79, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
862.3,1.4,0.04,0.03,G,3098.65,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
862.3,1.4,0.04,0.03,G,4387.8,3526.5, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
862.3,1.4,0.04,0.03,G,3526.5,2663.9, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
873.2,0.6,0.07,0.03,G,3656.08,2782.05, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
881.1,0.5,0.058,0.016,G,2873.78,1993.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
889.1,0.8,0.037,0.021,G,2692.0,1802.84, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
889.1,0.8,0.037,0.021,G,5388.65,4499.93, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
893.4,0.5,0.037,0.021,G,3098.65,2204.11, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
908.25,0.05,8.6,0.4,G,1510.64,602.31,E2+M1,-0.60,+18-17,0.00289, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
918.3,0.2,0.434,0.02,G,2429.52,1510.64,D+Q, ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
934.9,0.3,0.042,0.021,G,4032.5,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
939,0.5,0.021,0.016,G,2932.58,1993.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
939,0.5,0.021,0.016,G,4037.37,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
