energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
24.595,0.004,0.002862,0.0000024,G,2107.86,2083.26,E2, ,,697, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
64.135,0.01,0.0143,0.0019,G,2412.02,2347.89,M1, ,,4.26, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
68.916,0.006,0.0754,0.0019,G,2480.93,2412.02,M1, ,,3.46, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
109.422,0.011,0.219,0.004,G,2521.43,2412.02,M1+E2,+0.26,2,0.952, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
131.117,0.008,0.467,0.01,G,2480.93,2349.81,M1+E2,-0.13,+2-5,0.553, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
173.543,0.009,0.127,0.004,G,2521.43,2347.89,M1, ,,0.252, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
241.933,0.03,0.414,0.008,G,2349.81,2107.86,M1+E2,-0.60,+35-30,0.1008, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
266.543,0.012,0.466,0.008,G,2349.81,2083.26,M1+E2,-0.14,12,0.0786, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
306.9,0.2,0.025,0.007,G,1903.32,1596.24,[E2], ,,0.0454, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
328.762,0.008,20.3,0.3,G,2412.02,2083.26,M1+E2,-0.049,6,0.0453, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
397.52,0.05,0.073,0.005,G,2480.93,2083.26,(E2), ,,0.0206, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
432.493,0.012,2.9,0.03,G,2515.77,2083.26,M1+E2,-0.04,2,0.0224, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
438.5,0.5,0.039,0.01,G,2521.43,2083.26, , ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
445.5,0.5,0.0029,0.001,G,2347.89,1903.32, , ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
487.021,0.012,45.5,0.6,G,2083.26,1596.24,E2, ,,0.01159, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
618.12,0.05,0.037,0.004,G,2521.43,1903.32, , ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
751.637,0.018,4.33,0.04,G,2347.89,1596.24,M1+E2,+0.38,4,0.00548, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
